Clave,descripcion
838,Ochocientos treinta y ocho individuos
839,Ochocientos treinta y nueve individuos
840,Ochocientos cuarenta individuos
841,Ochocientos cuarenta y uno individuos
842,Ochocientos cuarenta y dos individuos
843,Ochocientos cuarenta y tres individuos
844,Ochocientos cuarenta y cuatro individuos
845,Ochocientos cuarenta y cinco individuos
846,Ochocientos cuarenta y seis individuos
847,Ochocientos cuarenta y siete individuos
848,Ochocientos cuarenta y ocho individuos
849,Ochocientos cuarenta y nueve individuos
850,Ochocientos cincuenta individuos
851,Ochocientos cincuenta y uno individuos
852,Ochocientos cincuenta y dos individuos
853,Ochocientos cincuenta y tres individuos
854,Ochocientos cincuenta y cuatro individuos
855,Ochocientos cincuenta y cinco individuos
856,Ochocientos cincuenta y seis individuos
857,Ochocientos cincuenta y siete individuos
858,Ochocientos cincuenta y ocho individuos
859,Ochocientos cincuenta y nueve individuos
860,Ochocientos sesenta individuos
861,Ochocientos sesenta y uno individuos
862,Ochocientos sesenta y dos individuos
863,Ochocientos sesenta y tres individuos
864,Ochocientos sesenta y cuatro individuos
865,Ochocientos sesenta y cinco individuos
866,Ochocientos sesenta y seis individuos
867,Ochocientos sesenta y siete individuos
868,Ochocientos sesenta y ocho individuos
869,Ochocientos sesenta y nueve individuos
870,Ochocientos setenta individuos
871,Ochocientos setenta y uno individuos
872,Ochocientos setenta y dos individuos
873,Ochocientos setenta y tres individuos
874,Ochocientos setenta y cuatro individuos
875,Ochocientos setenta y cinco individuos
876,Ochocientos setenta y seis individuos
877,Ochocientos setenta y siete individuos
878,Ochocientos setenta y ocho individuos
879,Ochocientos setenta y nueve individuos
880,Ochocientos ochenta individuos
881,Ochocientos ochenta y uno individuos
882,Ochocientos ochenta y dos individuos
883,Ochocientos ochenta y tres individuos
884,Ochocientos ochenta y cuatro individuos
885,Ochocientos ochenta y cinco individuos
886,Ochocientos ochenta y seis individuos
887,Ochocientos ochenta y siete individuos
888,Ochocientos ochenta y ocho individuos
889,Ochocientos ochenta y nueve individuos
890,Ochocientos noventa individuos
891,Ochocientos noventa y uno individuos
892,Ochocientos noventa y dos individuos
893,Ochocientos noventa y tres individuos
894,Ochocientos noventa y cuatro individuos
895,Ochocientos noventa y cinco individuos
896,Ochocientos noventa y seis individuos
897,Ochocientos noventa y siete individuos
898,Ochocientos noventa y ocho individuos
899,Ochocientos noventa y nueve individuos
900,Novecientos individuos
901,Novecientos uno individuos
902,Novecientos dos individuos
903,Novecientos tres individuos
904,Novecientos cuatro individuos
905,Novecientos cinco individuos
906,Novecientos seis individuos
907,Novecientos siete individuos
908,Novecientos ocho individuos
909,Novecientos nueve individuos
910,Novecientos diez individuos
911,Novecientos once individuos
912,Novecientos doce individuos
913,Novecientos trece individuos
914,Novecientos catorce individuos
915,Novecientos quince individuos
916,Novecientos dieciséis individuos
917,Novecientos diecisiete individuos
918,Novecientos dieciocho individuos
919,Novecientos diecinueve individuos
920,Novecientos veinte individuos
921,Novecientos veintiuno individuos
922,Novecientos ventidos individuos
923,Novecientos ventitrés individuos
924,Novecientos venticuatro individuos
925,Novecientos venticinco individuos
926,Novecientos ventiséis individuos
927,Novecientos ventisiete individuos
928,Novecientos ventiocho individuos
929,Novecientos veintinueve individuos
930,Novecientos treinta individuos
931,Novecientos treinta y uno individuos
932,Novecientos treinta y dos individuos
933,Novecientos treinta y tres individuos
934,Novecientos treinta y cuatro individuos
935,Novecientos treinta y cinco individuos
936,Novecientos treinta y seis individuos
937,Novecientos treinta y siete individuos
938,Novecientos treinta y ocho individuos
939,Novecientos treinta y nueve individuos
940,Novecientos cuarenta individuos
941,Novecientos cuarenta y uno individuos
942,Novecientos cuarenta y dos individuos
943,Novecientos cuarenta y tres individuos
944,Novecientos cuarenta y cuatro individuos
945,Novecientos cuarenta y cinco individuos
946,Novecientos cuarenta y seis individuos
947,Novecientos cuarenta y siete individuos
948,Novecientos cuarenta y ocho individuos
949,Novecientos cuarenta y nueve individuos
950,Novecientos cincuenta individuos
951,Novecientos cincuenta y uno individuos
952,Novecientos cincuenta y dos individuos
953,Novecientos cincuenta y tres individuos
954,Novecientos cincuenta y cuatro individuos
955,Novecientos cincuenta y cinco individuos
956,Novecientos cincuenta y seis individuos
957,Novecientos cincuenta y siete individuos
958,Novecientos cincuenta y ocho individuos
959,Novecientos cincuenta y nueve individuos
960,Novecientos sesenta individuos
961,Novecientos sesenta y uno individuos
962,Novecientos sesenta y dos individuos
963,Novecientos sesenta y tres individuos
964,Novecientos sesenta y cuatro individuos
965,Novecientos sesenta y cinco individuos
966,Novecientos sesenta y seis individuos
967,Novecientos sesenta y siete individuos
968,Novecientos sesenta y ocho individuos
969,Novecientos sesenta y nueve individuos
970,Novecientos setenta individuos
971,Novecientos setenta y uno individuos
972,Novecientos setenta y dos individuos
973,Novecientos setenta y tres individuos
974,Novecientos setenta y cuatro individuos
975,Novecientos setenta y cinco individuos
976,Novecientos setenta y seis individuos
977,Novecientos setenta y siete individuos
978,Novecientos setenta y ocho individuos
979,Novecientos setenta y nueve individuos
980,Novecientos ochenta individuos
981,Novecientos ochenta y uno individuos
982,Novecientos ochenta y dos individuos
983,Novecientos ochenta y tres individuos
984,Novecientos ochenta y cuatro individuos
985,Novecientos ochenta y cinco individuos
986,Novecientos ochenta y seis individuos
987,Novecientos ochenta y siete individuos
988,Novecientos ochenta y ocho individuos
989,Novecientos ochenta y nueve individuos
990,Novecientos noventa individuos
991,Novecientos noventa y uno individuos
992,Novecientos noventa y dos individuos
993,Novecientos noventa y tres individuos
994,Novecientos noventa y cuatro individuos
995,Novecientos noventa y cinco individuos
996,Novecientos noventa y seis individuos
997,Novecientos noventa y siete individuos
998,Novecientos noventa y ocho individuos
999,No especificado
